work_year,experience_level,employment_type,job_title,salary,remote_ratio,company_location,company_size
2021,EN,FT,Data Engineer,72500,100,US,L
2023,MI,FT,Data Analyst,72914,0,GB,M
2023,MI,FT,Data Scientist,72914,0,GB,M
2023,MI,FT,Data Analyst,72914,0,HR,M
2023,MI,FT,Data Science Lead,72914,0,GB,M
2023,MI,FT,Machine Learning Research Engineer,72914,0,GB,L
2023,SE,FT,Data Manager,72946,0,GB,M
2021,MI,FT,Data Scientist,73000,0,US,L
2022,EN,FT,Data Scientist,73000,0,US,M
2022,MI,FT,Data Scientist,73546,100,DE,M
2022,SE,FT,Data Engineer,73546,0,ES,M
2022,SE,FT,Machine Learning Engineer,73546,100,FR,M
2022,SE,FT,Data Engineer,73546,0,PT,M
2022,MI,FT,Data Scientist,73546,50,NL,L
2022,MI,FT,Data Engineer,73546,100,GR,M
2022,MI,FT,Data Engineer,73546,100,ES,M
2022,MI,FT,Data Engineer,73546,100,ES,M
2022,MI,FT,Data Engineer,73546,100,GR,M
2022,EN,FT,Data Scientist,73742,100,CA,L
2022,MI,FT,Data Engineer,73880,100,GB,M
2022,MI,FT,Analytics Engineer,73880,0,GB,M
2022,MI,FT,Data Engineer,73880,0,GB,M
2022,MI,FT,Data Engineer,73880,100,GB,M
2022,MI,FT,Data Engineer,73880,100,GB,M
2022,MI,FT,Data Engineer,73880,0,GB,M
2022,SE,FT,Data Engineer,73880,0,GB,M
2023,EN,FT,Data Engineer,73900,0,US,M
2023,SE,FT,Data Analyst,74178,0,US,M
2022,EN,FT,Data Scientist,74540,0,US,M
2023,EN,FT,Data Scientist,74540,0,US,M
2021,MI,FT,Data Analyst,75000,0,US,L
2022,SE,FT,Data Engineer,75000,0,US,M
2022,MI,FT,Data Analyst,75000,100,US,M
2022,MI,FT,Data Analyst,75000,100,US,M
2022,MI,FT,Data Engineer,75000,100,US,M
2022,MI,FT,Financial Data Analyst,75000,0,US,M
2022,MI,FT,Applied Machine Learning Scientist,75000,100,US,M
2022,MI,FT,Data Analyst,75000,0,CA,M
2022,MI,FT,Applied Machine Learning Scientist,75000,100,US,L
2022,MI,FT,Principal Data Analyst,75000,100,CA,S
2023,EN,FT,Data Analyst,75000,0,US,M
2023,SE,FT,Data Engineer,75000,100,US,M
2023,EN,FT,Data Analyst,75000,100,US,M
2023,SE,FT,Data Analyst,75000,100,US,M
2023,SE,FT,Data Analyst,75000,100,US,M
2023,MI,FT,Data Analyst,75000,0,US,M
2023,SE,FT,Data Engineer,75000,0,US,M
2023,MI,FT,Data Engineer,75000,0,US,M
2023,MI,FT,Data Engineer,75000,100,US,M
2023,EN,FT,Data Analyst,75000,100,US,M
2023,SE,FT,Data Analyst,75000,100,US,M
2023,MI,FT,Data Analyst,75000,100,US,M
2023,SE,FT,Data Engineer,75000,0,US,M
2023,EN,FT,Data Analyst,75000,100,US,M
2023,MI,FT,Data Engineer,75000,0,US,M
2023,SE,FT,Data Analyst,75000,100,US,M
2023,EN,FT,Data Analyst,75000,100,US,M
2023,SE,FT,Data Analyst,75000,100,US,M
2023,EN,FT,Data Analyst,75000,100,US,M
2023,EN,FT,Data Analyst,75000,100,US,M
2023,SE,FT,Data Engineer,75000,100,US,M
2023,SE,FT,Data Engineer,75000,100,US,M
2023,SE,FT,Data Engineer,75000,0,US,M
2023,SE,FT,Data Engineer,75000,100,US,M
2023,MI,FT,AI Developer,75020,0,FI,M
2023,MI,FT,Software Data Engineer,75020,100,SG,L
2021,MI,FT,Data Engineer,75050,50,AU,L
2023,MI,FT,Data Engineer,75116,100,SI,M
2023,SE,FT,Head of Data,75116,100,PT,L
2023,SE,FT,Machine Learning Infrastructure Engineer,75116,100,FR,M
2023,MI,FT,Machine Learning Engineer,75344,100,GB,M
2022,MI,FT,Data Scientist,75648,100,DE,S
2021,MI,FT,Data Scientist,75774,100,CA,L
2022,EN,FT,BI Analyst,76000,50,US,L
2022,EX,FT,Head of Machine Learning,76309,50,IN,L
2022,MI,FT,Machine Learning Developer,76814,100,CA,M
2022,SE,FT,Machine Learning Developer,76814,100,CA,M
2021,EN,FT,Data Science Consultant,76833,100,DE,S
2021,EN,FT,Data Science Consultant,76833,0,DE,L
2021,SE,FT,Data Engineer,76833,50,GB,S
2022,SE,FT,Applied Machine Learning Scientist,77119,100,GB,L
2023,SE,FT,Data Scientist,77262,0,LV,M
2023,SE,FT,Machine Learning Engineer,77262,0,LV,M
2022,EN,FT,Data Manager,77300,100,US,M
2021,MI,FT,ML Engineer,77364,50,JP,S
2021,SE,FT,Data Scientist,77684,50,FR,M
2022,SE,FT,Data Engineer,78000,0,US,M
2022,SE,FT,Data Engineer,78000,0,US,M
2022,MI,FT,Data Scientist,78000,100,US,M
2022,MI,FT,Analytics Engineer,78000,100,BR,M
2022,MI,FT,Data Engineer,78000,100,BR,M
2022,MI,FT,BI Analyst,78000,100,BR,M
2022,MI,FT,Data Scientist,78000,100,US,M
2023,SE,FT,Data Engineer,78000,100,US,M
2023,SE,FT,Data Scientist,78000,0,US,M
2023,MI,FT,Data Scientist,78990,0,GB,M
2023,MI,FT,Data Analyst,78990,100,GB,M
2023,MI,FT,Data Analyst,78990,0,GB,M
2022,MI,FT,Data Analyst,79000,0,US,M
2023,MI,FT,Data Analyst,79000,0,US,M
2022,MI,FT,Data Engineer,79178,0,LT,M
2021,SE,FT,Data Analytics Engineer,79197,100,DE,L
2021,EN,FT,Data Scientist,80000,100,US,M
2021,EN,FT,Data Engineer,80000,100,US,L
2021,SE,FT,Data Analyst,80000,100,US,S
2021,EN,FT,Data Analyst,80000,100,US,M
2021,MI,FT,Data Analyst,80000,100,US,L
2022,MI,FT,Data Engineer,80000,100,US,M
2022,MI,FT,Data Analyst,80000,100,US,L
2022,MI,FT,Data Engineer,80000,0,US,M
2022,EN,FT,Data Scientist,80000,0,US,M
2022,SE,FT,Data Analyst,80000,0,US,M
2022,MI,FT,Data Analyst,80000,0,US,M
2022,EN,FT,Data Scientist,80000,100,US,L
2022,SE,FT,Data Engineer,80000,100,US,M
2022,EN,FT,Data Engineer,80000,100,US,L
2022,SE,FT,Data Engineer,80000,0,US,L
2022,SE,FT,Data Scientist,80000,0,US,M
2022,SE,FT,Data Analyst,80000,100,US,M
2022,SE,FT,Data Engineer,80000,100,US,M
2023,SE,FT,Data Quality Analyst,80000,0,US,M
2023,SE,FT,Data Analyst,80000,0,US,M
2023,SE,FT,Data Quality Analyst,80000,0,US,M
2023,MI,FT,Data Specialist,80000,0,US,M
2023,SE,FT,Data Analyst,80000,0,US,M
2023,SE,FT,Data Analyst,80000,100,US,M
2023,SE,FT,Data Analyst,80000,100,US,M
2023,EN,FT,AI Developer,80000,50,SE,M
2023,SE,FT,Data Engineer,80000,0,US,M
2023,SE,FT,Data Analyst,80000,100,US,S
2023,MI,FT,Data Analyst,80000,0,US,M
2023,SE,FT,Data Analyst,80000,0,US,M
2023,MI,FT,Data Analyst,80000,0,US,M
2023,MI,FT,Data Analyst,80000,0,US,M
2023,MI,FT,Applied Data Scientist,80000,100,KE,S
2023,MI,FT,Data Engineer,80000,100,ES,M
2023,MI,FT,Data Analyst,80000,0,US,M
2023,SE,FT,Data Analyst,80000,100,US,M
2022,MI,FT,Machine Learning Engineer,80036,0,GB,M
2022,MI,FT,Data Engineer,80036,100,GB,M
2022,MI,FT,Data Engineer,80036,100,GB,M
2022,MI,FT,Data Scientist,80036,50,GB,M
2022,SE,FT,Analytics Engineer,80041,100,GB,M
2023,MI,FT,Data Scientist,80481,0,IE,M
2021,EN,FT,Machine Learning Engineer,81000,50,US,S
2022,SE,FT,Data Operations Analyst,81000,100,US,M
2022,SE,FT,Data Scientist,81500,0,US,M
2022,SE,FT,Data Architect,81500,0,US,M
2023,SE,FT,Data Engineer,81500,0,US,M
2023,SE,FT,Data Engineer,81500,0,US,M
2023,SE,FT,Data Engineer,81500,0,US,M
2023,SE,FT,Data Engineer,81500,100,US,M
2023,SE,FT,Data Engineer,81500,0,US,M
2023,SE,FT,Data Engineer,81500,0,US,M
2022,SE,FT,Data Analyst,81666,100,US,M
2022,SE,FT,Data Analyst,81666,100,US,M
2022,SE,FT,Data Analyst,81666,100,US,M
2022,SE,FT,Data Analyst,81666,100,US,M
2022,SE,FT,Data Analyst,81666,100,US,M
2022,SE,FT,Data Analyst,81666,0,US,M
2022,SE,FT,Data Analyst,81666,100,US,M
2023,SE,FT,Data Analyst,81666,100,US,M
2023,SE,FT,Data Analyst,81666,100,US,M
2022,EN,FT,Data Scientist,82000,0,US,L
2022,SE,FT,Data Engineer,82280,100,GB,M
2023,SE,FT,Data Scientist,82365,0,US,M
2023,SE,FT,Data Scientist,82365,0,US,M
2023,SE,FT,Data Scientist,82365,0,US,M
2021,MI,FT,Data Scientist,82500,100,US,S
2021,MI,FT,Data Engineer,82528,100,GB,L
2021,EN,FT,Research Scientist,82528,50,GB,L
2021,SE,FT,Machine Learning Engineer,82744,50,BE,M
2022,MI,FT,Data Engineer,82900,0,US,M
2023,MI,FT,Data Scientist,82920,100,US,M
2022,EN,FT,Machine Learning Engineer,83000,0,US,L
2022,MI,FT,Data Scientist,83171,0,AU,L
2022,EN,FT,Data Scientist,83171,50,AU,M
2023,SE,FT,Data Scientist,83270,100,US,M
2023,MI,FT,Data Analyst,83500,100,US,M
2022,MI,FT,Machine Learning Engineer,83864,100,AU,L
2022,MI,FT,Data Scientist,84000,100,BR,M
2022,SE,FT,ML Engineer,84000,100,US,M
2023,SE,FT,Data Scientist,84000,100,US,M
2023,SE,FT,Data Scientist,84000,100,US,M
2022,SE,FT,Machine Learning Engineer,84053,50,FR,L
2022,MI,FT,Research Scientist,84053,0,DE,S
2022,MI,FT,Data Engineer,84053,100,GR,M
2022,MI,FT,Data Engineer,84053,100,ES,M
2022,EN,FT,Data Scientist,84053,100,BE,L
2022,EX,FT,Research Scientist,84053,0,NL,L
2022,MI,FT,Machine Learning Engineer,84053,100,DE,M
2022,MI,FT,Data Engineer,84053,100,ES,M
2022,MI,FT,Data Engineer,84053,100,GR,M
2022,SE,FT,Lead Machine Learning Engineer,84053,0,DE,M
2022,SE,FT,Data Analyst,84900,100,US,M
2021,EX,FT,Head of Data Science,85000,0,RU,M
2021,EN,FT,Machine Learning Engineer,85000,100,DE,S
2022,EN,FT,Data Scientist,85000,0,US,M
2022,EN,FT,Data Engineer,85000,0,US,M
2022,MI,FT,Data Scientist,85000,100,US,M
2022,MI,FT,Data Analyst,85000,0,US,M
2022,MI,FT,Analytics Engineer,85000,100,US,M
2022,SE,FT,Data Engineer,85000,100,US,M
2022,SE,FT,Data Engineer,85000,100,US,M
2022,SE,FT,Data Engineer,85000,100,US,M
2022,SE,FT,Data Engineer,85000,100,US,M
2022,SE,FT,Machine Learning Engineer,85000,100,US,M
2022,MI,FT,Data Analyst,85000,0,CA,M
2023,EN,FT,Data Engineer,85000,0,US,M
2023,EN,FT,Data Analyst,85000,100,US,M
2023,EN,FT,Data Engineer,85000,0,US,M
2023,EN,FT,Data Engineer,85000,0,US,M
2023,EN,FT,Data Engineer,85000,0,US,M
2023,MI,FT,Data Analyst,85000,0,US,M
2023,EN,FT,Data Analyst,85000,100,US,M
2023,MI,FT,Data Analyst,85000,0,US,M
2023,SE,FT,Data Analytics Specialist,85000,0,US,M
2023,EN,FT,Data Analyst,85000,100,US,M
2023,SE,FT,Data Analyst,85000,100,US,M
2023,SE,FT,Data Analyst,85000,0,US,M
2023,EN,FT,Data Analyst,85000,100,US,M
2023,MI,FT,Research Scientist,85000,0,US,M
2023,SE,FT,Data Engineer,85000,100,US,M
2023,SE,FT,Data Analyst,85000,0,US,M
2023,MI,FT,ETL Engineer,85066,100,GB,M
2023,MI,FT,Data Scientist,85066,0,GB,M
2023,MI,FT,Data Engineer,85066,100,GB,M
2023,MI,FT,Data Analyst,85066,0,GB,M
2023,SE,FT,Data Analyst,85500,0,US,M
2023,SE,FT,Data Analyst,85500,0,US,M
2023,SE,FT,Data Analyst,85500,0,US,M
2022,SE,FT,Data Analyst,85700,0,US,M
2023,SE,FT,Principal Data Scientist,85847,100,ES,L
2023,SE,FT,Research Engineer,85847,100,DE,S
2022,EN,FT,Data Engineer,86000,100,US,L
2023,SE,FT,Data Manager,86000,100,US,M
2022,MI,FT,Deep Learning Engineer,86193,100,GB,M
2022,MI,FT,Data Engineer,86193,100,GB,M
2022,SE,FT,Data Analyst,86193,0,GB,M
2022,MI,FT,Data Engineer,86193,100,GB,M
2022,MI,FT,Data Scientist,86193,0,GB,M
2023,SE,FT,Data Analyst,86466,100,US,M
2023,SE,FT,Analytics Engineer,87000,0,US,M
2023,SE,FT,Data Analyst,87000,100,US,M
2023,MI,FT,Machine Learning Engineer,87000,0,US,M
2021,SE,FT,Data Scientist,87738,100,CA,S
2023,SE,FT,Data Engineer,87980,0,US,M
2023,SE,FT,Data Engineer,87980,0,US,M
2022,SE,FT,Data Scientist,88100,0,US,M
2022,SE,FT,Data Scientist,88100,0,US,M
2022,SE,FT,Data Scientist,88256,100,GB,L
2021,SE,FT,Marketing Data Analyst,88654,100,DK,L
2021,MI,FT,Machine Learning Engineer,88654,100,BE,M
2021,MI,FT,Data Scientist,88654,50,DE,L
2022,SE,FT,Data Analyst,89200,100,US,M
2022,SE,FT,Data Analyst,89200,100,US,M
2021,MI,FT,Cloud Data Engineer,89294,50,SG,L
2022,MI,FT,Data Scientist Lead,89306,50,AT,L
2022,MI,FT,Data Scientist,89306,0,NL,M
2022,SE,FT,Research Scientist,89306,50,FR,L
2021,MI,FT,Data Analyst,90000,100,US,M
2021,MI,FT,Data Engineer,90000,100,US,L
2021,EN,FT,Data Analyst,90000,100,US,S
2021,EN,FT,Data Scientist,90000,100,US,S
2021,EN,FT,Data Science Consultant,90000,100,US,S
2022,MI,FT,Machine Learning Engineer,90000,0,US,M
2022,MI,FT,Data Scientist,90000,100,US,M
2022,MI,FT,Data Engineer,90000,100,US,M
2022,MI,FT,Data Engineer,90000,100,US,M
2022,MI,FT,Machine Learning Engineer,90000,0,US,M
2022,SE,FT,Data Engineer,90000,100,US,M
2022,SE,CT,Data Analyst,90000,100,US,M
2022,SE,FT,Data Engineer,90000,0,US,M
2022,MI,FT,Data Scientist,90000,0,US,M
2023,SE,FT,Data Strategist,90000,0,CA,M
2023,MI,FT,Data Analyst,90000,0,US,M
2023,MI,FT,Data Engineer,90000,0,US,M
2023,SE,FT,Data Analyst,90000,100,US,M
2023,MI,FT,Machine Learning Engineer,90000,0,US,M
2023,EN,FT,Data Engineer,90000,0,US,M
2023,MI,FT,Data Engineer,90000,100,US,M
2023,MI,FT,Data Engineer,90000,100,US,M
2023,SE,FT,Applied Machine Learning Scientist,90000,100,US,L
2023,MI,FT,Data Science Consultant,90000,0,US,M
2023,EN,FT,Data Engineer,90000,0,US,M
2023,SE,FT,Data Analyst,90000,100,US,M
2023,SE,FT,Data Science Manager,90000,100,MX,M
2023,SE,FT,Data Engineer,90000,0,US,M
2023,SE,FT,Machine Learning Software Engineer,90000,0,US,M
2023,MI,FT,Data Engineer,90000,0,US,M
2023,MI,FT,Data Engineer,90000,0,US,M
2023,SE,FT,Data Scientist,90000,100,US,M
2023,SE,FT,Data Engineer,90000,100,US,M
2023,MI,FT,Data Analyst,90000,0,US,M
2023,SE,FT,Data Scientist,90000,100,US,M
2023,MI,FT,Data Scientist,90000,0,US,M
2022,SE,FT,Data Analyst,90320,0,US,M
2022,SE,FT,Data Analyst,90320,100,US,M
2022,SE,FT,Data Analyst,90320,100,US,M
2022,SE,FT,Data Analyst,90320,100,US,M
2022,SE,FT,Data Analyst,90320,100,US,M
2022,SE,FT,Data Analyst,90320,100,US,M
2022,SE,FT,Data Architect,90700,100,CA,M
2023,SE,FT,Data Scientist,90700,0,US,M
2023,SE,FT,Data Modeler,90700,0,US,M
2023,SE,FT,Data Engineer,90700,0,US,M
2023,SE,FT,Data Engineer,90700,0,US,M
2023,SE,FT,Data Scientist,90700,0,US,M
2023,SE,FT,Machine Learning Engineer,90700,0,US,M
2021,MI,FT,Data Scientist,90734,50,DE,L
2021,MI,FT,Data Scientist,90734,50,DE,L
2022,MI,FT,Data Engineer,91118,0,GB,M
2022,SE,FT,Data Scientist,92000,100,US,L
2022,SE,FT,Data Scientist,92000,100,US,L
2023,SE,FT,Data Architect,92000,100,GB,M
2022,SE,FT,Data Operations Analyst,92250,0,US,M
2022,MI,FT,Data Scientist,92350,0,GB,M
2022,MI,FT,Data Engineer,92350,100,GB,M
2022,SE,FT,Data Analyst,92350,0,GB,M
2022,SE,FT,Analytics Engineer,92350,0,GB,M
2022,MI,FT,Data Engineer,92350,0,GB,M
2022,MI,FT,Data Engineer,92350,100,GB,M
2022,MI,FT,Machine Learning Engineer,92350,0,GB,M
2022,MI,FT,Data Engineer,92350,0,GB,M
2022,MI,FT,Data Engineer,92350,100,GB,M
2023,EN,FT,Data Engineer,92700,100,US,M
2023,EN,FT,Data Engineer,92700,100,US,M
2021,MI,FT,Data Analyst,93000,100,US,L
2022,EN,FT,Data Scientist,93000,0,US,M
2021,MI,FT,Data Engineer,93150,0,US,M
2022,SE,FT,Data Analyst,93700,100,US,M
2022,SE,FT,Data Analyst,93700,100,US,M
2022,SE,FT,Data Engineer,93700,100,US,M
2022,SE,FT,Data Scientist,93800,0,US,M
2023,SE,FT,Data Analyst,93800,100,US,M
2023,MI,FT,Data Scientist,93918,100,US,M
2023,SE,FT,Data Analyst,93919,100,US,M
2023,SE,FT,Data Analyst,94000,100,US,M
2023,SE,FT,Data Analyst,94000,0,US,M
2023,SE,FT,Data Engineer,94000,100,CA,M
2023,SE,FT,Data Science Consultant,94000,0,US,M
2023,SE,FT,Data Engineer,94000,0,US,M
2023,SE,FT,Research Scientist,94192,0,US,M
2023,SE,FT,Data Engineer,94300,0,US,M
2022,SE,FT,Data Science Consultant,94500,0,US,M
2022,MI,FT,Data Scientist,94560,100,FR,M
2021,SE,FT,Machine Learning Engineer,94564,50,DE,L
2021,SE,FT,Data Science Manager,94665,50,IN,L
2022,MI,FT,Data Engineer,95000,0,US,M
2022,SE,FT,Data Analyst,95000,0,US,M
2022,SE,FT,Data Engineer,95000,0,US,M
2022,SE,FT,Data Engineer,95000,0,US,M
2022,SE,FT,Data Engineer,95000,0,US,M
2022,SE,FT,Data Analyst,95000,0,US,M
2022,SE,FT,Data Scientist,95000,0,US,M
2022,SE,FT,Data Engineer,95000,0,US,M
2022,MI,FT,Data Engineer,95000,0,US,M
2022,SE,FT,Data Engineer,95000,0,US,M
2022,MI,FT,Data Engineer,95000,0,US,M
2022,MI,FT,Data Engineer,95000,0,US,M
2022,SE,FT,Data Analyst,95000,0,US,M
2022,SE,FT,Data Analyst,95000,0,US,M
2022,SE,FT,Data Analyst,95000,0,US,M
2022,SE,FT,Data Analyst,95000,100,US,M
2022,SE,FT,Data Specialist,95000,100,US,M
2023,SE,FT,Data Engineer,95000,100,US,M
2023,SE,FT,Machine Learning Engineer,95000,100,CA,M
2023,SE,FT,Data Analyst,95000,100,US,M
2023,EN,FT,Data Analyst,95000,100,US,M
2023,MI,FT,Data Engineer,95000,0,US,M
2023,SE,FT,Data Analyst,95000,0,US,M
2023,SE,FT,Data Analyst,95000,0,US,M
2023,SE,FT,Data Analyst,95000,0,US,M
2023,SE,FT,Data Analyst,95000,0,US,M
2023,SE,FT,Data Analyst,95000,100,US,M
2023,MI,FT,Data Analyst,95000,100,US,M
2023,MI,FT,Data Engineer,95000,0,US,M
2023,MI,FT,Data Engineer,95000,100,US,M
2023,MI,FT,Data Engineer,95000,0,US,M
2023,MI,FT,Data Engineer,95000,100,ES,M
2022,SE,FT,Lead Machine Learning Engineer,95386,50,IN,L
2022,SE,FT,Data Scientist,95550,0,US,M
2021,MI,FT,Computer Vision Software Engineer,95746,100,US,S
2022,SE,FT,Data Analyst,96000,100,US,M
2023,SE,FT,Data Engineer,96100,100,US,M
2021,SE,FT,Research Scientist,96113,50,CA,L
2021,SE,FT,Data Engineer,96282,50,GB,L
2023,MI,FT,Machine Learning Engineer,96578,100,NL,L
2023,MI,FT,Data Scientist,96578,0,IE,M
2022,SE,FT,Data Engineer,97000,100,US,M
2023,MI,FT,Data Analyst,97218,0,GB,M
2023,MI,FT,Machine Learning Engineer,97218,0,GB,M
2022,MI,FT,Data Analyst,97500,100,US,L
2023,MI,FT,Data Scientist,97750,100,US,M
2022,MI,FT,Data Manager,98000,0,US,M
2022,MI,FT,Data Manager,98000,0,US,M
2022,MI,FT,ML Engineer,98200,100,US,L
2022,MI,FT,Data Engineer,98506,100,GB,M
2022,MI,FT,Data Engineer,98506,0,GB,M
2022,MI,FT,Data Engineer,98506,100,GB,M
2022,SE,FT,Data Scientist,98506,0,GB,M
2022,SE,FT,Data Engineer,99000,0,US,M
2022,SE,FT,Data Engineer,99000,0,US,M
2022,SE,FT,Data Analyst,99000,0,US,M
2022,SE,FT,Data Analyst,99000,0,US,M
2022,SE,FT,Data Analyst,99000,0,US,M
2022,SE,FT,Data Analyst,99050,100,US,M
2022,SE,FT,Data Engineer,99100,0,US,M
2022,MI,FT,Data Engineer,99100,0,US,M
2022,SE,FT,Data Scientist,99360,100,US,M
2022,SE,FT,Data Analyst,99450,100,US,M
2022,SE,FT,Data Analyst,99450,100,US,M
2021,SE,FT,Big Data Architect,99703,50,CA,M
2022,SE,FT,Data Analyst,99750,100,US,M
2021,EN,FT,Data Scientist,100000,0,US,S
2021,EN,FT,Machine Learning Developer,100000,50,IQ,S
2021,MI,FT,Data Engineer,100000,100,US,L
2021,MI,FT,BI Data Analyst,100000,100,US,M
2021,EN,FT,Research Scientist,100000,0,CN,L
2021,EN,FT,Data Scientist,100000,100,US,M
2022,EN,FT,Data Scientist,100000,100,US,M
2022,SE,FT,Data Engineer,100000,0,US,M
2022,MI,FT,Data Analyst,100000,0,US,M
2022,MI,FT,Data Analyst,100000,0,US,M
2022,EN,FT,Product Data Analyst,100000,100,US,M
2022,MI,FT,Data Scientist,100000,0,US,M
2022,SE,FT,Data Engineer,100000,0,US,M
2022,SE,FT,Data Engineer,100000,0,US,M
2022,MI,FT,Data Analyst,100000,0,US,M
2022,MI,FT,Analytics Engineer,100000,100,US,M
2022,SE,FT,Data Analyst,100000,100,US,M
2022,MI,FT,Data Analyst,100000,100,US,M
2022,MI,FT,Data Analyst,100000,0,US,M
2022,MI,FT,Machine Learning Researcher,100000,100,US,M
2022,MI,FT,Machine Learning Researcher,100000,100,US,M
2022,SE,FT,Data Engineer,100000,0,US,M
2022,MI,FT,Data Analyst,100000,0,US,M
2022,SE,FT,Data Analyst,100000,0,US,M
2022,SE,FT,Data Analyst,100000,0,US,M
2022,MI,FT,Data Analyst,100000,0,US,M
2022,EN,FL,Machine Learning Engineer,100000,100,IR,M
2022,SE,FT,Data Analyst,100000,0,US,M
2022,MI,FT,Data Analyst,100000,0,US,M
2022,MI,FT,Data Analyst,100000,0,CA,M
2022,SE,FT,Data Engineer,100000,0,US,M
2022,SE,FT,Data Engineer,100000,0,US,M
2022,MI,FT,Data Analyst,100000,0,US,M
2022,SE,FT,Data Analyst,100000,0,US,M
2022,SE,FT,Data Engineer,100000,100,US,M
2022,MI,FT,Data Scientist,100000,100,US,M
2022,SE,FT,Data Engineer,100000,0,US,M
2022,MI,FT,Data Analyst,100000,100,US,M
2022,SE,FT,Data Analyst,100000,0,US,M
2022,SE,FT,Data Analyst,100000,100,US,M
2022,MI,FT,ML Engineer,100000,100,US,M
2022,EN,FT,Data Scientist,100000,100,US,M
2022,MI,FT,Data Operations Engineer,100000,100,US,M
2022,MI,FT,Data Operations Engineer,100000,100,US,M
2022,MI,FT,Data Engineer,100000,0,US,M
2022,SE,FT,Analytics Engineer,100000,100,US,M
2022,MI,FT,Data Operations Engineer,100000,100,US,M
2022,SE,FT,Data Engineer,100000,100,US,M
2022,SE,FT,Data Engineer,100000,0,US,L
2022,SE,FT,Data Scientist,100000,0,US,L
2022,SE,FT,Machine Learning Engineer,100000,100,US,M
2022,SE,FT,Business Data Analyst,100000,100,US,L
2022,SE,FT,Data Engineer,100000,100,US,M
2022,SE,FT,Data Analyst,100000,100,US,M
2022,SE,FT,Data Engineer,100000,100,US,M
2022,SE,FT,Data Analyst,100000,100,US,M
2022,SE,FT,Data Engineer,100000,100,US,M
2022,SE,FT,Data Scientist,100000,100,US,M
2022,MI,FL,Data Scientist,100000,100,US,M
2022,EN,PT,Data Scientist,100000,50,DZ,M
2022,EN,FT,Financial Data Analyst,100000,50,US,L
2023,SE,FT,Data Analyst,100000,100,US,M
2023,EN,FT,Data Quality Analyst,100000,100,NG,L
2023,MI,FT,Data Engineer,100000,100,US,M
2023,MI,FT,Data Engineer,100000,100,US,M
2023,SE,FT,Data Quality Analyst,100000,0,US,M
2023,SE,FT,Data Engineer,100000,0,US,M
2023,SE,FT,Data Scientist,100000,100,US,M
2023,SE,FT,Data Quality Analyst,100000,0,US,M
2023,SE,FT,Machine Learning Engineer,100000,0,US,M
2023,SE,FT,Data Analyst,100000,100,US,M
2023,EX,FT,Data Scientist,100000,0,US,M
2023,SE,FT,Data Analyst,100000,100,US,M
2023,MI,FT,Data Scientist,100000,0,US,M
2023,MI,FT,Data Scientist,100000,0,US,M
2023,MI,FT,Data Analyst,100000,0,US,M
2023,EN,FT,Research Scientist,100000,0,US,M
2023,MI,FT,Data Analyst,100000,100,CA,M
2023,EN,FT,Data Analyst,100000,100,US,L
2023,EN,FT,Data Analyst,100000,0,US,M
2023,EN,FT,Research Scientist,100000,0,US,M
2023,MI,FT,Data Engineer,100000,0,US,M
2023,MI,FT,Deep Learning Engineer,100000,100,US,M
2023,SE,FT,Data Manager,100000,0,US,M
2023,EN,FT,Data Analyst,100000,50,US,M
2023,SE,FT,Azure Data Engineer,100000,50,NL,L
2023,SE,FT,BI Developer,100000,100,US,M
2023,MI,FT,Data Analyst,100000,0,US,M
2023,EN,FT,BI Developer,100000,0,US,M
2023,MI,FT,Data Analyst,100000,0,US,M
2023,MI,FT,Data Analyst,100000,0,US,M
2023,MI,FT,Data Analyst,100000,100,US,M
2023,SE,FT,Data Science Engineer,100000,0,US,M
2023,MI,FT,Data Analyst,100000,0,US,M
2023,MI,FT,Research Engineer,100000,100,US,M
2023,MI,FT,Data Engineer,100000,0,US,M
2023,SE,FT,Research Engineer,100000,0,US,M
2023,MI,FT,Data Analyst,100000,0,US,M
2023,SE,FT,Data Analyst,100500,0,US,M
2023,SE,FT,Data Analyst,100500,0,US,M
2023,SE,FT,Data Engineer,100706,0,US,M
2022,SE,FT,Data Engineer,100800,100,US,L
2023,SE,FT,Machine Learning Engineer,101228,0,GB,M
2023,SE,FT,Data Engineer,101228,0,GB,M
2022,SE,FT,Data Scientist,101570,100,US,M
2022,SE,FT,Data Engineer,101570,100,US,M
2023,SE,FT,Data Engineer,101943,100,IE,M
2022,SE,FT,Data Engineer,102000,0,US,M
2023,MI,FT,Data Engineer,102000,0,US,M
2023,MI,FT,Data Engineer,102000,0,US,M
2022,SE,FT,Data Engineer,102100,0,US,M
2022,SE,FT,Data Engineer,102100,0,US,M
2022,SE,FT,Data Architect,102100,0,US,M
2022,SE,FT,Data Analyst,102100,100,US,M
2022,MI,FT,Data Scientist,102100,0,US,M
2022,MI,FT,Data Scientist,102200,100,GB,M
2023,SE,FT,Data Scientist,102500,100,US,M
2023,SE,FT,Data Analyst,102500,100,US,M
2023,SE,FT,Research Engineer,102544,0,US,M
2022,MI,FT,Data Analyst,102640,100,US,M
2022,SE,FT,Analytics Engineer,102663,100,GB,M
2023,MI,FT,Research Scientist,102772,0,GB,M
2021,SE,FT,Head of Data,102839,100,SI,L
2021,SE,FT,Lead Data Engineer,103160,100,GB,S
2023,MI,FT,Data Analyst,103200,0,US,M
2023,MI,FT,Data Engineer,103294,0,GB,M
